,instance_type,price,time
140548,c3.2xlarge,0.197,86312
140569,c3.8xlarge,0.399,86224
140582,c3.8xlarge,0.4994,86164
140643,c3.8xlarge,0.4993,86044
140657,c3.8xlarge,0.4994,85984
140675,i3.large,0.1112,85926
140700,c3.8xlarge,1.7428,85872
140727,c3.8xlarge,1.7379,85830
140781,c3.8xlarge,1.6498,85704
140794,c3.8xlarge,0.3924,85682
140803,c3.8xlarge,0.3926,85680
140876,c3.8xlarge,0.3933,85476
140967,i3.large,0.1113,85258
141149,c3.8xlarge,1.7261,84821
141164,c3.8xlarge,1.6498,84737
141179,c3.8xlarge,1.7261,84695
141245,c3.2xlarge,0.1978,84560
141265,c3.2xlarge,0.1977,84508
141272,c3.2xlarge,0.4147,84474
141295,i3.large,0.1113,84354
141321,c3.8xlarge,0.4986,84268
141333,c3.8xlarge,0.3987,84208
141468,c3.8xlarge,1.7261,83783
141471,c3.8xlarge,0.3933,83778
141503,c3.2xlarge,0.4149,83716
141518,c3.8xlarge,1.7265,83699
141540,i3.2xlarge,0.2141,83580
141553,c3.2xlarge,0.1966,83526
141613,c3.8xlarge,0.3932,83364
141626,c3.8xlarge,1.7279,83326
141633,c3.8xlarge,0.4987,83302
141659,c3.8xlarge,1.7275,83245
141674,c3.2xlarge,0.1966,83220
141693,c3.8xlarge,0.3931,83182
141726,c3.2xlarge,0.1966,83100
141742,c3.8xlarge,0.4987,83062
141770,c3.8xlarge,0.4932,83002
141773,c3.8xlarge,0.3986,83002
141785,c3.2xlarge,0.1967,82982
141798,c3.8xlarge,1.7279,82951
141813,c3.2xlarge,0.1966,82920
141840,c3.8xlarge,0.4996,82882
141847,c3.2xlarge,0.0967,82876
141854,c3.8xlarge,1.6499,82869
141873,c3.2xlarge,0.0976,82860
141947,c3.2xlarge,0.0975,82800
141955,c3.8xlarge,1.7448,82747
142007,c3.8xlarge,1.7435,82624
142057,c3.8xlarge,1.7497,82500
142070,c3.8xlarge,1.7504,82459
142121,c3.8xlarge,0.4007,82340
142157,c3.8xlarge,0.5001,82278
142162,c3.2xlarge,0.1976,82268
142169,c3.2xlarge,0.4145,82268
142197,c3.8xlarge,0.4998,82216
142228,c3.2xlarge,0.1976,82138
142284,c3.8xlarge,1.7256,82004
142356,c3.2xlarge,0.1975,81846
142365,c3.2xlarge,0.4148,81825
142380,i3.large,0.1112,81769
142487,c3.2xlarge,0.4145,81521
142566,c3.2xlarge,0.4148,81219
142603,i3.large,0.1112,81101
142658,c3.8xlarge,0.4931,81010
142667,c3.8xlarge,1.7252,80996
142692,c3.8xlarge,1.7256,80870
142719,c3.2xlarge,0.4144,80740
142752,c3.8xlarge,0.3933,80650
142827,i3.large,0.1112,80439
142892,i3.large,0.1113,80257
143015,c3.8xlarge,0.4931,79808
143047,c3.8xlarge,0.3932,79688
