"workflow","policy","instances","reserved_cost","ondemand_cost","spot_cost","total_cost","reward","profit","deadlines_missed","cold_starts","warm_or_reuse","total_cold_start_s","measured_transfer_s","measured_compute_s","transfer_share_pct","spot_revocations","tasks_on_reserved","tasks_on_ondemand","tasks_on_spot"
"log_processing","d_sota","6","0.0000","1.4707","0.0000","1.4707","4.8544","3.3837","0","5","19","11.30","8.87","141.12","5.91","0","0","24","0"
"log_processing","d_dcd","6","0.0000","1.4308","0.0000","1.4308","4.8544","3.4236","0","5","19","10.42","7.29","135.39","5.11","0","0","24","0"
"log_processing","ds_sota2","6","0.0000","1.1579","0.1631","1.3210","4.8544","3.5334","0","5","19","10.47","6.83","135.09","4.81","1","0","17","7"
"log_processing","rd_dcd","6","0.5525","0.6516","0.0000","1.2040","4.8544","3.6503","0","5","19","13.94","7.46","134.84","5.25","0","15","9","0"
"log_processing","rds_dcd","6","0.0000","0.3731","0.0000","0.3731","4.8544","4.4812","0","7","17","16.57","6.97","136.82","4.85","7","0","3","21"
"log_processing","rds_dcd_pred","6","0.3140","0.3718","0.0000","0.6858","4.8544","4.1686","0","5","19","19.49","6.99","133.72","4.96","5","4","4","16"
"video_processing","d_sota","6","0.0000","3.1086","0.0000","3.1086","2.0553","-1.0533","2","6","18","16.59","1.62","269.60","0.60","0","0","24","0"
"video_processing","d_dcd","6","0.0000","3.4128","0.0000","3.4128","1.2232","-2.1896","5","8","16","69.24","2.15","313.89","0.68","0","0","24","0"
"video_processing","ds_sota2","6","0.0000","1.5076","0.0000","1.5076","2.3327","0.8251","1","8","16","17.98","1.57","249.40","0.63","6","0","11","13"
"video_processing","rd_dcd","6","0.8334","1.4404","0.0000","2.2738","2.3327","0.0589","1","6","18","14.42","1.49","226.88","0.65","0","15","9","0"
"video_processing","rds_dcd","6","0.0000","0.3152","0.3671","0.6823","2.6588","1.9765","0","10","14","21.60","0.61","127.13","0.48","4","0","3","21"
"video_processing","rds_dcd_pred","6","0.2904","0.2735","0.1059","0.6698","2.6588","1.9890","0","5","19","11.89","0.56","111.66","0.50","1","10","6","8"
"staircase_chain","d_sota","6","0.0000","0.7748","0.0000","0.7748","2.8393","2.0645","0","3","249","6.33","2.66","53.29","4.75","0","0","252","0"
"staircase_chain","d_dcd","6","0.0000","0.7531","0.0000","0.7531","2.8393","2.0863","0","3","249","4.44","2.24","53.12","4.04","0","0","252","0"
"staircase_chain","ds_sota2","6","0.0000","0.6233","0.0000","0.6233","2.8393","2.2161","0","5","247","8.29","2.22","52.82","4.03","2","0","188","64"
"staircase_chain","rd_dcd","6","0.4498","0.0857","0.0000","0.5355","2.8393","2.3039","0","3","249","5.58","2.21","52.96","4.01","0","226","26","0"
"staircase_chain","rds_dcd","6","0.0000","0.2234","0.0738","0.2973","2.8393","2.5421","0","9","243","12.27","2.22","52.59","4.06","6","0","54","198"
"staircase_chain","rds_dcd_pred","6","0.2753","0.0000","0.0737","0.3489","2.8393","2.4904","0","4","248","6.00","2.26","52.69","4.11","2","147","0","105"
