instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,log-100mb,gen-log,cold,ondemand,1.627,0.0000,14.1674,0.3714,0.00,100.00
1,log-20mb,gen-log,cold,ondemand,1.987,0.0000,2.7123,0.0906,0.00,20.00
1,log-20mb,basic-stats,reuse,ondemand,0.000,0.0675,2.9205,0.0664,20.00,20.85
1,log-20mb,filter-success,reuse,ondemand,0.000,0.0686,1.2605,0.0514,20.85,16.30
1,log-20mb,success-stats,reuse,ondemand,0.000,0.0541,1.3140,0.0004,16.30,0.00
2,log-100mb,gen-log,cold,ondemand,2.766,0.0000,13.5201,0.4220,0.00,100.00
0,log-100mb,basic-stats,reuse,ondemand,0.000,0.3486,15.4713,0.3462,100.00,104.27
0,log-100mb,filter-success,reuse,ondemand,0.000,0.3497,5.8509,0.2626,104.27,81.33
3,log-50mb,gen-log,reuse,ondemand,0.000,0.0000,6.7505,0.1955,0.00,50.00
4,log-20mb,gen-log,cold,ondemand,1.878,0.0000,3.0949,0.0724,0.00,20.00
5,log-20mb,gen-log,cold,ondemand,2.163,0.0000,3.2551,0.4381,0.00,20.00
0,log-100mb,success-stats,reuse,ondemand,0.000,0.2596,7.2544,0.0011,81.33,0.00
4,log-20mb,basic-stats,reuse,ondemand,0.000,0.1509,3.7172,0.0788,20.00,20.85
2,log-100mb,basic-stats,reuse,ondemand,0.000,0.4617,16.8134,0.3689,100.00,104.27
4,log-20mb,filter-success,reuse,ondemand,0.000,0.1098,1.2262,0.0538,20.85,16.25
4,log-20mb,success-stats,reuse,ondemand,0.000,0.0565,1.3968,0.0008,16.25,0.00
5,log-20mb,basic-stats,reuse,ondemand,0.000,0.0690,3.0927,0.2124,20.00,20.85
5,log-20mb,filter-success,reuse,ondemand,0.000,0.0764,1.2707,0.1282,20.85,16.28
3,log-50mb,basic-stats,reuse,ondemand,0.000,0.2942,8.5870,0.2084,50.00,52.14
5,log-20mb,success-stats,warm,ondemand,0.000,0.0535,1.3140,0.0004,16.28,0.00
2,log-100mb,filter-success,reuse,ondemand,0.000,0.4189,6.3633,0.2690,104.27,81.27
3,log-50mb,filter-success,warm,ondemand,0.000,0.2335,2.8976,0.1360,52.14,40.66
3,log-50mb,success-stats,reuse,ondemand,0.000,0.1618,3.8060,0.0004,40.66,0.00
2,log-100mb,success-stats,warm,ondemand,0.000,0.2831,7.3333,0.0005,81.27,0.00
