instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,log-100mb,gen-log,cold,ondemand,2.143,0.0000,14.0169,0.4254,0.00,100.00
1,log-20mb,gen-log,cold,ondemand,2.416,0.0000,2.6138,0.0740,0.00,20.00
1,log-20mb,basic-stats,reuse,ondemand,0.000,0.0782,2.9735,0.0674,20.00,20.85
1,log-20mb,filter-success,reuse,ondemand,0.000,0.0802,1.1838,0.0549,20.85,16.29
1,log-20mb,success-stats,reuse,ondemand,0.000,0.0597,1.4408,0.0005,16.29,0.00
2,log-100mb,gen-log,cold,ondemand,2.391,0.0000,13.3803,0.5293,0.00,100.00
0,log-100mb,basic-stats,reuse,ondemand,0.000,0.3723,15.7193,0.3636,100.00,104.27
0,log-100mb,filter-success,reuse,ondemand,0.000,0.3985,6.0515,0.4897,104.27,81.34
3,log-50mb,gen-log,reuse,ondemand,0.000,0.0000,7.0573,0.2522,0.00,50.00
4,log-20mb,gen-log,cold,ondemand,2.424,0.0000,2.9846,0.0671,0.00,20.00
5,log-20mb,gen-log,cold,ondemand,1.927,0.0000,3.1168,0.4348,0.00,20.00
4,log-20mb,basic-stats,reuse,ondemand,0.000,0.0852,4.9741,0.1301,20.00,20.85
0,log-100mb,success-stats,reuse,ondemand,0.000,0.3303,8.3729,0.0007,81.34,0.00
2,log-100mb,basic-stats,reuse,ondemand,0.000,0.4749,18.5974,0.7036,100.00,104.27
4,log-20mb,filter-success,reuse,ondemand,0.000,0.2662,1.7192,0.0669,20.85,16.26
5,log-20mb,basic-stats,reuse,ondemand,0.000,0.6869,3.8221,0.0722,20.00,20.85
4,log-20mb,success-stats,reuse,ondemand,0.000,0.0553,1.3306,0.0004,16.26,0.00
5,log-20mb,filter-success,warm,ondemand,0.000,0.0819,1.2241,0.0570,20.85,16.28
3,log-50mb,basic-stats,reuse,ondemand,0.000,0.2803,9.7221,0.1937,50.00,52.14
5,log-20mb,success-stats,warm,ondemand,0.000,0.0544,1.3430,0.0009,16.28,0.00
3,log-50mb,filter-success,warm,ondemand,0.000,0.1946,2.8903,0.1913,52.14,40.66
2,log-100mb,filter-success,reuse,ondemand,0.000,0.4649,6.1820,0.3111,104.27,81.34
3,log-50mb,success-stats,warm,ondemand,0.000,0.1364,3.3468,0.0007,40.66,0.00
2,log-100mb,success-stats,reuse,ondemand,0.000,0.2810,7.0582,0.0005,81.34,0.00
