instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,log-100mb,gen-log,cold,ondemand,1.892,0.0000,14.1884,0.3842,0.00,100.00
1,log-20mb,gen-log,cold,ondemand,1.862,0.0000,2.5592,0.0683,0.00,20.00
1,log-20mb,basic-stats,reuse,ondemand,0.000,0.0632,2.9234,0.1183,20.00,20.85
1,log-20mb,filter-success,reuse,ondemand,0.000,0.0685,1.1851,0.0507,20.85,16.28
1,log-20mb,success-stats,reuse,ondemand,0.000,0.0529,1.3427,0.0004,16.28,0.00
2,log-100mb,gen-log,cold,ondemand,1.897,0.0000,13.2137,0.3431,0.00,100.00
0,log-100mb,basic-stats,reuse,ondemand,0.000,0.4364,14.4492,0.3317,100.00,104.27
0,log-100mb,filter-success,reuse,ondemand,0.000,0.3489,6.0710,0.2674,104.27,81.31
4,log-20mb,gen-log,cold,spot,2.123,0.0000,2.7128,0.0818,0.00,20.00
2,log-100mb,basic-stats,reuse,ondemand,0.000,0.3232,15.6118,0.4436,100.00,104.27
5,log-20mb,gen-log,cold,spot,2.693,0.0000,3.6970,0.0742,0.00,20.00
4,log-20mb,basic-stats,reuse,spot,0.000,0.1883,3.9779,0.0890,20.00,20.85
0,log-100mb,success-stats,reuse,ondemand,0.000,0.2840,8.3191,0.0004,81.31,0.00
4,log-20mb,filter-success,reuse,spot,0.000,0.1459,1.2930,0.0711,20.85,16.28
3,log-50mb,gen-log,reuse,ondemand,0.000,0.0000,8.0701,0.1663,0.00,50.00
5,log-20mb,basic-stats,reuse,spot,0.000,0.0741,3.1895,0.0804,20.00,20.85
4,log-20mb,success-stats,warm,ondemand,0.000,0.0698,1.3530,0.0004,16.28,0.00
5,log-20mb,filter-success,warm,spot,0.000,0.0869,1.2149,0.0527,20.85,16.28
2,log-100mb,filter-success,reuse,ondemand,0.000,0.4670,6.7187,0.3304,104.27,81.37
5,log-20mb,success-stats,warm,ondemand,0.000,0.0526,1.3184,0.0004,16.28,0.00
3,log-50mb,basic-stats,reuse,ondemand,0.000,0.2789,8.0103,0.1720,50.00,52.14
2,log-100mb,success-stats,reuse,spot,0.000,0.2794,7.1544,0.0004,81.37,0.00
3,log-50mb,filter-success,warm,ondemand,0.000,0.1801,3.0390,0.1626,52.14,40.66
3,log-50mb,success-stats,warm,ondemand,0.000,0.1388,3.4792,0.0005,40.66,0.00
