instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,log-100mb,gen-log,cold,reserved,2.401,0.0000,14.1053,0.5102,0.00,100.00
1,log-20mb,gen-log,cold,reserved,4.379,0.0000,2.8436,0.0766,0.00,20.00
1,log-20mb,basic-stats,reuse,reserved,0.000,0.0649,2.8410,0.0665,20.00,20.85
1,log-20mb,filter-success,reuse,reserved,0.000,0.0701,1.2960,0.0681,20.85,16.29
1,log-20mb,success-stats,reuse,reserved,0.000,0.0661,1.8818,0.0004,16.29,0.00
2,log-100mb,gen-log,cold,ondemand,2.806,0.0000,13.6366,0.3698,0.00,100.00
0,log-100mb,basic-stats,reuse,reserved,0.000,0.3445,14.4188,0.3306,100.00,104.27
0,log-100mb,filter-success,reuse,reserved,0.000,0.3755,5.8348,0.2671,104.27,81.31
3,log-50mb,gen-log,warm,ondemand,0.000,0.0000,6.6338,0.2101,0.00,50.00
4,log-20mb,gen-log,cold,ondemand,1.939,0.0000,2.6975,0.0768,0.00,20.00
5,log-20mb,gen-log,cold,ondemand,2.411,0.0000,3.1542,0.3029,0.00,20.00
0,log-100mb,success-stats,reuse,reserved,0.000,0.2879,7.1345,0.0005,81.31,0.00
4,log-20mb,basic-stats,reuse,ondemand,0.000,0.0857,3.5693,0.0701,20.00,20.85
4,log-20mb,filter-success,reuse,reserved,0.000,0.2535,1.5724,0.0640,20.85,16.27
2,log-100mb,basic-stats,reuse,reserved,0.000,0.3701,16.7378,0.4236,100.00,104.27
5,log-20mb,basic-stats,reuse,ondemand,0.000,0.0985,3.3669,0.0757,20.00,20.85
4,log-20mb,success-stats,reuse,reserved,0.000,0.0624,1.3286,0.0004,16.27,0.00
5,log-20mb,filter-success,reuse,ondemand,0.000,0.0775,1.2978,0.0540,20.85,16.22
3,log-50mb,basic-stats,reuse,ondemand,0.000,0.2264,8.5605,0.2156,50.00,52.14
5,log-20mb,success-stats,warm,reserved,0.000,0.0536,1.6655,0.0004,16.22,0.00
3,log-50mb,filter-success,warm,ondemand,0.000,0.3552,3.2852,0.2618,52.14,40.69
2,log-100mb,filter-success,reuse,reserved,0.000,0.3864,6.8076,0.3691,104.27,81.38
3,log-50mb,success-stats,warm,reserved,0.000,0.1675,3.2102,0.0004,40.69,0.00
2,log-100mb,success-stats,reuse,reserved,0.000,0.3030,6.9630,0.0005,81.38,0.00
