instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,log-100mb,gen-log,cold,spot,2.151,0.0001,14.0286,0.3974,0.00,100.00
1,log-20mb,gen-log,cold,spot,4.546,0.0000,2.9668,0.1030,0.00,20.00
1,log-20mb,basic-stats,reuse,spot,0.000,0.0755,2.9886,0.0698,20.00,20.85
1,log-20mb,filter-success,cold,spot,1.602,0.0690,1.2671,0.0577,20.85,16.29
1,log-20mb,success-stats,reuse,spot,0.000,0.0557,1.3453,0.0004,16.29,0.00
0,log-100mb,basic-stats,cold,spot,2.087,0.3459,14.5882,0.3541,100.00,104.27
2,log-100mb,gen-log,cold,ondemand,1.606,0.0000,13.1614,0.3387,0.00,100.00
3,log-50mb,gen-log,reuse,spot,0.000,0.0000,6.9170,0.1813,0.00,50.00
4,log-20mb,gen-log,cold,spot,2.179,0.0000,2.9481,0.0982,0.00,20.00
0,log-100mb,filter-success,reuse,spot,0.000,0.3393,6.8566,0.3700,104.27,81.29
5,log-20mb,gen-log,cold,spot,2.399,0.0000,2.7626,0.0761,0.00,20.00
4,log-20mb,basic-stats,reuse,spot,0.000,0.0687,3.2024,0.0871,20.00,20.85
4,log-20mb,filter-success,reuse,spot,0.000,0.0799,1.2958,0.0929,20.85,16.28
4,log-20mb,success-stats,reuse,spot,0.000,0.0728,1.7513,0.0062,16.28,0.00
5,log-20mb,basic-stats,reuse,spot,0.000,0.0893,3.8698,0.1347,20.00,20.85
5,log-20mb,filter-success,reuse,spot,0.000,0.0907,1.5202,0.2942,20.85,16.26
0,log-100mb,success-stats,reuse,spot,0.000,0.2782,7.8988,0.0008,81.29,0.00
3,log-50mb,basic-stats,reuse,spot,0.000,0.2028,9.2165,0.2443,50.00,52.14
5,log-20mb,success-stats,warm,spot,0.000,0.1167,1.5213,0.0004,16.26,0.00
2,log-100mb,basic-stats,reuse,ondemand,0.000,0.3390,15.8926,0.3350,100.00,104.27
3,log-50mb,filter-success,warm,spot,0.000,0.1996,3.2983,0.1325,52.14,40.63
3,log-50mb,success-stats,warm,spot,0.000,0.1497,3.4998,0.0004,40.63,0.00
2,log-100mb,filter-success,reuse,spot,0.000,0.3789,6.5054,0.3094,104.27,81.34
2,log-100mb,success-stats,reuse,ondemand,0.000,0.3312,7.5132,0.0005,81.34,0.00
