instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,scenario-03,step-0,cold,ondemand,1.313,0.0000,0.0846,0.0022,0.00,1.05
0,scenario-03,step-1,warm,ondemand,0.000,0.0021,0.0735,0.0019,1.05,1.05
0,scenario-03,step-2,warm,ondemand,0.000,0.0020,0.0774,0.0018,1.05,1.05
0,scenario-03,step-3,warm,ondemand,0.000,0.0018,0.0732,0.0017,1.05,1.05
0,scenario-03,step-4,warm,ondemand,0.000,0.0019,0.0731,0.0017,1.05,1.05
0,scenario-03,step-5,warm,ondemand,0.000,0.0024,0.0743,0.0018,1.05,1.05
0,scenario-03,step-6,warm,ondemand,0.000,0.0020,0.0728,0.0019,1.05,1.05
0,scenario-03,step-7,warm,ondemand,0.000,0.0019,0.0722,0.0019,1.05,1.05
0,scenario-03,step-8,warm,ondemand,0.000,0.0020,0.0731,0.0018,1.05,1.05
0,scenario-03,step-9,warm,ondemand,0.000,0.0021,0.0755,0.0018,1.05,1.05
0,scenario-03,step-10,warm,ondemand,0.000,0.0020,0.0758,0.0020,1.05,1.05
0,scenario-03,step-11,warm,ondemand,0.000,0.0019,0.0742,0.0017,1.05,1.05
0,scenario-03,step-12,warm,ondemand,0.000,0.0019,0.0738,0.0019,1.05,1.05
0,scenario-03,step-13,warm,ondemand,0.000,0.0019,0.0753,0.0021,1.05,1.05
0,scenario-03,step-14,warm,ondemand,0.000,0.0018,0.0740,0.0018,1.05,1.05
0,scenario-03,step-15,warm,ondemand,0.000,0.0019,0.0761,0.0018,1.05,1.05
0,scenario-03,step-16,warm,ondemand,0.000,0.0018,0.0730,0.0017,1.05,1.05
0,scenario-03,step-17,warm,ondemand,0.000,0.0020,0.0743,0.0021,1.05,1.05
0,scenario-03,step-18,warm,ondemand,0.000,0.0020,0.0765,0.0019,1.05,1.05
0,scenario-03,step-19,warm,ondemand,0.000,0.0019,0.0735,0.0018,1.05,1.05
0,scenario-03,step-20,warm,ondemand,0.000,0.0018,0.0748,0.0017,1.05,1.05
0,scenario-03,step-21,warm,ondemand,0.000,0.0020,0.0741,0.0021,1.05,1.05
0,scenario-03,step-22,warm,ondemand,0.000,0.0019,0.0745,0.0018,1.05,1.05
0,scenario-03,step-23,warm,ondemand,0.000,0.0019,0.0734,0.0018,1.05,1.05
0,scenario-03,step-24,warm,ondemand,0.000,0.0019,0.0801,0.0021,1.05,1.05
0,scenario-03,step-25,warm,ondemand,0.000,0.0018,0.0768,0.0018,1.05,1.05
0,scenario-03,step-26,warm,ondemand,0.000,0.0022,0.0768,0.0017,1.05,1.05
0,scenario-03,step-27,warm,ondemand,0.000,0.0018,0.1200,0.0048,1.05,3.15
0,scenario-03,step-28,warm,ondemand,0.000,0.0051,0.2459,0.0052,3.15,3.15
0,scenario-03,step-29,warm,ondemand,0.000,0.0050,0.2603,0.0049,3.15,3.15
0,scenario-03,step-30,warm,ondemand,0.000,0.0053,0.2432,0.0051,3.15,3.15
0,scenario-03,step-31,warm,ondemand,0.000,0.0047,0.2410,0.0048,3.15,3.15
0,scenario-03,step-32,warm,ondemand,0.000,0.0054,0.2372,0.0051,3.15,3.15
0,scenario-03,step-33,warm,ondemand,0.000,0.0051,0.2437,0.0046,3.15,3.15
0,scenario-03,step-34,warm,ondemand,0.000,0.0053,0.2408,0.0048,3.15,3.15
0,scenario-03,step-35,warm,ondemand,0.000,0.0051,0.2346,0.0047,3.15,3.15
0,scenario-03,step-36,warm,ondemand,0.000,0.0047,0.2502,0.0051,3.15,3.15
0,scenario-03,step-37,warm,ondemand,0.000,0.0048,0.2351,0.0048,3.15,3.15
0,scenario-03,step-38,warm,ondemand,0.000,0.0048,0.2426,0.0047,3.15,3.15
0,scenario-03,step-39,warm,ondemand,0.000,0.0052,0.2308,0.0048,3.15,3.15
0,scenario-03,step-40,warm,ondemand,0.000,0.0049,0.2263,0.0046,3.15,3.15
0,scenario-03,step-41,warm,ondemand,0.000,0.0052,0.1825,0.0019,3.15,1.05
1,scenario-01,step-0,warm,ondemand,0.000,0.0000,0.0984,0.0032,0.00,2.10
1,scenario-01,step-1,warm,ondemand,0.000,0.0033,0.1424,0.0036,2.10,2.10
1,scenario-01,step-2,warm,ondemand,0.000,0.0034,0.1445,0.0031,2.10,2.10
1,scenario-01,step-3,warm,ondemand,0.000,0.0033,0.1481,0.0033,2.10,2.10
1,scenario-01,step-4,warm,ondemand,0.000,0.0033,0.1468,0.0030,2.10,2.10
1,scenario-01,step-5,warm,ondemand,0.000,0.0037,0.1471,0.0031,2.10,2.10
1,scenario-01,step-6,warm,ondemand,0.000,0.0033,0.1468,0.0040,2.10,2.10
1,scenario-01,step-7,warm,ondemand,0.000,0.0032,0.1486,0.0032,2.10,2.10
