instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,scenario-03,step-0,cold,ondemand,1.563,0.0000,0.0777,0.0018,0.00,1.05
0,scenario-03,step-1,warm,ondemand,0.000,0.0018,0.0716,0.0017,1.05,1.05
0,scenario-03,step-2,warm,ondemand,0.000,0.0018,0.0721,0.0019,1.05,1.05
0,scenario-03,step-3,warm,ondemand,0.000,0.0019,0.0718,0.0017,1.05,1.05
0,scenario-03,step-4,warm,ondemand,0.000,0.0018,0.0723,0.0018,1.05,1.05
0,scenario-03,step-5,warm,ondemand,0.000,0.0020,0.0731,0.0018,1.05,1.05
0,scenario-03,step-6,warm,ondemand,0.000,0.0019,0.0725,0.0017,1.05,1.05
0,scenario-03,step-7,warm,ondemand,0.000,0.0020,0.0727,0.0017,1.05,1.05
0,scenario-03,step-8,warm,ondemand,0.000,0.0019,0.0712,0.0021,1.05,1.05
0,scenario-03,step-9,warm,ondemand,0.000,0.0020,0.0727,0.0017,1.05,1.05
0,scenario-03,step-10,warm,ondemand,0.000,0.0019,0.0718,0.0017,1.05,1.05
0,scenario-03,step-11,warm,ondemand,0.000,0.0018,0.0737,0.0018,1.05,1.05
0,scenario-03,step-12,warm,ondemand,0.000,0.0019,0.0839,0.0020,1.05,1.05
0,scenario-03,step-13,warm,ondemand,0.000,0.0021,0.0832,0.0018,1.05,1.05
0,scenario-03,step-14,warm,ondemand,0.000,0.0018,0.0726,0.0018,1.05,1.05
0,scenario-03,step-15,warm,ondemand,0.000,0.0019,0.0722,0.0019,1.05,1.05
0,scenario-03,step-16,warm,ondemand,0.000,0.0019,0.0728,0.0018,1.05,1.05
0,scenario-03,step-17,warm,ondemand,0.000,0.0020,0.0729,0.0020,1.05,1.05
0,scenario-03,step-18,warm,ondemand,0.000,0.0019,0.0718,0.0018,1.05,1.05
0,scenario-03,step-19,warm,ondemand,0.000,0.0018,0.0726,0.0019,1.05,1.05
0,scenario-03,step-20,warm,ondemand,0.000,0.0019,0.0714,0.0025,1.05,1.05
0,scenario-03,step-21,warm,ondemand,0.000,0.0019,0.0720,0.0018,1.05,1.05
