instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,scenario-03,step-0,cold,spot,1.568,0.0000,0.0790,0.0018,0.00,1.05
0,scenario-03,step-1,warm,spot,0.000,0.0019,0.0716,0.0017,1.05,1.05
0,scenario-03,step-2,warm,spot,0.000,0.0019,0.0731,0.0019,1.05,1.05
0,scenario-03,step-3,warm,spot,0.000,0.0035,0.0728,0.0018,1.05,1.05
0,scenario-03,step-4,warm,spot,0.000,0.0019,0.0722,0.0018,1.05,1.05
0,scenario-03,step-5,warm,spot,0.000,0.0019,0.0723,0.0018,1.05,1.05
0,scenario-03,step-6,warm,spot,0.000,0.0019,0.0740,0.0026,1.05,1.05
0,scenario-03,step-7,warm,spot,0.000,0.0022,0.0718,0.0019,1.05,1.05
0,scenario-03,step-8,warm,spot,0.000,0.0018,0.0735,0.0017,1.05,1.05
0,scenario-03,step-9,warm,spot,0.000,0.0019,0.0716,0.0018,1.05,1.05
0,scenario-03,step-10,warm,spot,0.000,0.0021,0.0737,0.0021,1.05,1.05
0,scenario-03,step-11,warm,spot,0.000,0.0019,0.0718,0.0017,1.05,1.05
0,scenario-03,step-12,warm,spot,0.000,0.0019,0.0716,0.0018,1.05,1.05
0,scenario-03,step-13,warm,spot,0.000,0.0019,0.0725,0.0020,1.05,1.05
0,scenario-03,step-14,warm,spot,0.000,0.0019,0.0779,0.0021,1.05,1.05
0,scenario-03,step-15,warm,spot,0.000,0.0019,0.0731,0.0017,1.05,1.05
0,scenario-03,step-16,warm,spot,0.000,0.0019,0.0724,0.0018,1.05,1.05
0,scenario-03,step-17,warm,spot,0.000,0.0019,0.0736,0.0018,1.05,1.05
0,scenario-03,step-18,warm,spot,0.000,0.0018,0.0721,0.0018,1.05,1.05
0,scenario-03,step-19,warm,spot,0.000,0.0020,0.0725,0.0018,1.05,1.05
0,scenario-03,step-20,warm,spot,0.000,0.0018,0.0736,0.0019,1.05,1.05
0,scenario-03,step-21,warm,spot,0.000,0.0021,0.0723,0.0020,1.05,1.05
0,scenario-03,step-22,warm,spot,0.000,0.0018,0.0723,0.0018,1.05,1.05
0,scenario-03,step-23,warm,spot,0.000,0.0018,0.0724,0.0017,1.05,1.05
0,scenario-03,step-24,warm,spot,0.000,0.0020,0.0732,0.0019,1.05,1.05
0,scenario-03,step-25,warm,spot,0.000,0.0019,0.0754,0.0017,1.05,1.05
0,scenario-03,step-26,warm,spot,0.000,0.0019,0.0741,0.0018,1.05,1.05
0,scenario-03,step-27,warm,spot,0.000,0.0019,0.1230,0.0049,1.05,3.15
0,scenario-03,step-28,warm,spot,0.000,0.0050,0.2416,0.0048,3.15,3.15
0,scenario-03,step-29,warm,spot,0.000,0.0050,0.2397,0.0047,3.15,3.15
0,scenario-03,step-30,warm,spot,0.000,0.0048,0.2367,0.0047,3.15,3.15
0,scenario-03,step-31,warm,spot,0.000,0.0048,0.2370,0.0050,3.15,3.15
0,scenario-03,step-32,warm,spot,0.000,0.0049,0.2376,0.0052,3.15,3.15
0,scenario-03,step-33,warm,spot,0.000,0.0052,0.2421,0.0055,3.15,3.15
0,scenario-03,step-34,warm,spot,0.000,0.0058,0.2372,0.0047,3.15,3.15
0,scenario-03,step-35,warm,spot,0.000,0.0049,0.2362,0.0045,3.15,3.15
0,scenario-03,step-36,warm,spot,0.000,0.0050,0.2351,0.0051,3.15,3.15
0,scenario-03,step-37,warm,spot,0.000,0.0048,0.2247,0.0047,3.15,3.15
0,scenario-03,step-38,warm,spot,0.000,0.0049,0.2298,0.0050,3.15,3.15
0,scenario-03,step-39,warm,spot,0.000,0.0047,0.2387,0.0054,3.15,3.15
0,scenario-03,step-40,warm,spot,0.000,0.0056,0.2347,0.0052,3.15,3.15
0,scenario-03,step-41,warm,spot,0.000,0.0048,0.1790,0.0018,3.15,1.05
1,scenario-01,step-0,cold,ondemand,2.077,0.0000,0.1000,0.0034,0.00,2.10
1,scenario-01,step-1,warm,ondemand,0.000,0.0034,0.1476,0.0035,2.10,2.10
1,scenario-01,step-2,warm,ondemand,0.000,0.0033,0.1441,0.0032,2.10,2.10
1,scenario-01,step-3,warm,ondemand,0.000,0.0032,0.1477,0.0031,2.10,2.10
1,scenario-01,step-4,warm,ondemand,0.000,0.0034,0.1456,0.0031,2.10,2.10
1,scenario-01,step-5,warm,ondemand,0.000,0.0033,0.1442,0.0033,2.10,2.10
1,scenario-01,step-6,warm,ondemand,0.000,0.0032,0.1462,0.0033,2.10,2.10
2,scenario-03,step-0,cold,spot,1.660,0.0000,0.0789,0.0019,0.00,1.05
1,scenario-01,step-7,warm,ondemand,0.000,0.0034,0.1499,0.0033,2.10,2.10
2,scenario-03,step-1,warm,spot,0.000,0.0022,0.0735,0.0019,1.05,1.05
2,scenario-03,step-2,warm,spot,0.000,0.0019,0.0727,0.0018,1.05,1.05
1,scenario-01,step-8,warm,ondemand,0.000,0.0035,0.1785,0.0032,2.10,2.10
2,scenario-03,step-3,warm,spot,0.000,0.0019,0.0797,0.0016,1.05,1.05
2,scenario-03,step-4,warm,spot,0.000,0.0019,0.0736,0.0018,1.05,1.05
1,scenario-01,step-9,warm,ondemand,0.000,0.0033,0.1458,0.0033,2.10,2.10
2,scenario-03,step-5,warm,spot,0.000,0.0022,0.0751,0.0018,1.05,1.05
2,scenario-03,step-6,warm,spot,0.000,0.0018,0.0717,0.0018,1.05,1.05
