instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,scenario-03,step-0,cold,reserved,1.305,0.0000,0.0814,0.0022,0.00,1.05
0,scenario-03,step-1,warm,reserved,0.000,0.0020,0.0731,0.0018,1.05,1.05
0,scenario-03,step-2,warm,reserved,0.000,0.0020,0.0722,0.0019,1.05,1.05
0,scenario-03,step-3,warm,reserved,0.000,0.0020,0.0727,0.0017,1.05,1.05
0,scenario-03,step-4,warm,reserved,0.000,0.0019,0.0713,0.0018,1.05,1.05
0,scenario-03,step-5,warm,reserved,0.000,0.0019,0.0718,0.0017,1.05,1.05
0,scenario-03,step-6,warm,reserved,0.000,0.0018,0.0712,0.0017,1.05,1.05
0,scenario-03,step-7,warm,reserved,0.000,0.0018,0.0718,0.0018,1.05,1.05
0,scenario-03,step-8,warm,reserved,0.000,0.0019,0.0715,0.0018,1.05,1.05
0,scenario-03,step-9,warm,reserved,0.000,0.0020,0.0722,0.0018,1.05,1.05
0,scenario-03,step-10,warm,reserved,0.000,0.0018,0.0730,0.0017,1.05,1.05
0,scenario-03,step-11,warm,reserved,0.000,0.0019,0.0728,0.0018,1.05,1.05
0,scenario-03,step-12,warm,reserved,0.000,0.0019,0.0736,0.0018,1.05,1.05
0,scenario-03,step-13,warm,reserved,0.000,0.0021,0.0725,0.0018,1.05,1.05
0,scenario-03,step-14,warm,reserved,0.000,0.0018,0.0717,0.0018,1.05,1.05
0,scenario-03,step-15,warm,reserved,0.000,0.0019,0.0721,0.0017,1.05,1.05
0,scenario-03,step-16,warm,reserved,0.000,0.0019,0.0711,0.0020,1.05,1.05
0,scenario-03,step-17,warm,reserved,0.000,0.0019,0.0718,0.0017,1.05,1.05
0,scenario-03,step-18,warm,reserved,0.000,0.0020,0.0717,0.0019,1.05,1.05
0,scenario-03,step-19,warm,reserved,0.000,0.0019,0.0720,0.0017,1.05,1.05
0,scenario-03,step-20,warm,reserved,0.000,0.0020,0.0719,0.0017,1.05,1.05
0,scenario-03,step-21,warm,reserved,0.000,0.0023,0.0722,0.0019,1.05,1.05
0,scenario-03,step-22,warm,reserved,0.000,0.0020,0.0712,0.0017,1.05,1.05
0,scenario-03,step-23,warm,reserved,0.000,0.0023,0.0904,0.0020,1.05,1.05
0,scenario-03,step-24,warm,reserved,0.000,0.0031,0.0778,0.0017,1.05,1.05
0,scenario-03,step-25,warm,reserved,0.000,0.0019,0.0747,0.0020,1.05,1.05
0,scenario-03,step-26,warm,reserved,0.000,0.0020,0.0750,0.0018,1.05,1.05
0,scenario-03,step-27,warm,reserved,0.000,0.0020,0.1232,0.0049,1.05,3.15
0,scenario-03,step-28,warm,reserved,0.000,0.0049,0.2398,0.0051,3.15,3.15
0,scenario-03,step-29,warm,reserved,0.000,0.0059,0.2385,0.0048,3.15,3.15
0,scenario-03,step-30,warm,reserved,0.000,0.0048,0.2400,0.0046,3.15,3.15
0,scenario-03,step-31,warm,reserved,0.000,0.0050,0.2385,0.0048,3.15,3.15
0,scenario-03,step-32,warm,reserved,0.000,0.0048,0.2382,0.0048,3.15,3.15
0,scenario-03,step-33,warm,reserved,0.000,0.0049,0.2410,0.0047,3.15,3.15
0,scenario-03,step-34,warm,reserved,0.000,0.0050,0.2388,0.0047,3.15,3.15
0,scenario-03,step-35,warm,reserved,0.000,0.0048,0.2516,0.0047,3.15,3.15
0,scenario-03,step-36,warm,reserved,0.000,0.0049,0.2299,0.0047,3.15,3.15
0,scenario-03,step-37,warm,reserved,0.000,0.0047,0.2301,0.0048,3.15,3.15
0,scenario-03,step-38,warm,reserved,0.000,0.0051,0.2264,0.0045,3.15,3.15
0,scenario-03,step-39,warm,reserved,0.000,0.0049,0.2312,0.0047,3.15,3.15
0,scenario-03,step-40,warm,reserved,0.000,0.0047,0.2314,0.0047,3.15,3.15
0,scenario-03,step-41,warm,reserved,0.000,0.0048,0.1840,0.0017,3.15,1.05
1,scenario-01,step-0,warm,reserved,0.000,0.0000,0.0955,0.0031,0.00,2.10
1,scenario-01,step-1,warm,reserved,0.000,0.0033,0.1439,0.0032,2.10,2.10
1,scenario-01,step-2,warm,reserved,0.000,0.0034,0.1430,0.0040,2.10,2.10
1,scenario-01,step-3,warm,reserved,0.000,0.0034,0.1459,0.0032,2.10,2.10
1,scenario-01,step-4,warm,reserved,0.000,0.0035,0.1448,0.0032,2.10,2.10
1,scenario-01,step-5,warm,reserved,0.000,0.0033,0.1443,0.0033,2.10,2.10
1,scenario-01,step-6,warm,reserved,0.000,0.0032,0.1428,0.0032,2.10,2.10
1,scenario-01,step-7,warm,reserved,0.000,0.0033,0.1450,0.0032,2.10,2.10
1,scenario-01,step-8,warm,reserved,0.000,0.0033,0.1443,0.0031,2.10,2.10
1,scenario-01,step-9,warm,reserved,0.000,0.0033,0.1578,0.0044,2.10,2.10
1,scenario-01,step-10,warm,reserved,0.000,0.0040,0.1570,0.0031,2.10,2.10
1,scenario-01,step-11,warm,reserved,0.000,0.0032,0.1473,0.0031,2.10,2.10
1,scenario-01,step-12,warm,reserved,0.000,0.0033,0.1466,0.0032,2.10,2.10
1,scenario-01,step-13,warm,reserved,0.000,0.0034,0.1443,0.0032,2.10,2.10
1,scenario-01,step-14,warm,reserved,0.000,0.0031,0.1460,0.0033,2.10,2.10
1,scenario-01,step-15,warm,reserved,0.000,0.0032,0.1504,0.0037,2.10,2.10
1,scenario-01,step-16,warm,reserved,0.000,0.0033,0.1486,0.0031,2.10,2.10
1,scenario-01,step-17,warm,reserved,0.000,0.0032,0.1457,0.0035,2.10,2.10
2,scenario-03,step-0,cold,reserved,3.225,0.0000,0.0790,0.0017,0.00,1.05
1,scenario-01,step-18,warm,reserved,0.000,0.0039,0.1483,0.0031,2.10,2.10
2,scenario-03,step-1,warm,reserved,0.000,0.0018,0.0729,0.0019,1.05,1.05
2,scenario-03,step-2,warm,reserved,0.000,0.0019,0.0710,0.0016,1.05,1.05
1,scenario-01,step-19,warm,reserved,0.000,0.0034,0.1438,0.0031,2.10,2.10
2,scenario-03,step-3,warm,reserved,0.000,0.0017,0.0723,0.0017,1.05,1.05
1,scenario-01,step-20,warm,reserved,0.000,0.0034,0.1465,0.0030,2.10,2.10
2,scenario-03,step-4,warm,reserved,0.000,0.0019,0.0728,0.0017,1.05,1.05
