instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,scenario-03,step-0,cold,spot,1.568,0.0000,0.0811,0.0025,0.00,1.05
0,scenario-03,step-1,warm,spot,0.000,0.0019,0.0747,0.0018,1.05,1.05
0,scenario-03,step-2,warm,spot,0.000,0.0019,0.0725,0.0018,1.05,1.05
0,scenario-03,step-3,warm,spot,0.000,0.0018,0.0717,0.0019,1.05,1.05
0,scenario-03,step-4,warm,spot,0.000,0.0019,0.0718,0.0016,1.05,1.05
0,scenario-03,step-5,warm,spot,0.000,0.0019,0.0733,0.0019,1.05,1.05
0,scenario-03,step-6,warm,spot,0.000,0.0020,0.0784,0.0020,1.05,1.05
0,scenario-03,step-7,warm,spot,0.000,0.0025,0.0749,0.0021,1.05,1.05
0,scenario-03,step-8,warm,spot,0.000,0.0020,0.0725,0.0018,1.05,1.05
0,scenario-03,step-9,warm,spot,0.000,0.0019,0.0749,0.0020,1.05,1.05
0,scenario-03,step-10,warm,spot,0.000,0.0025,0.0715,0.0019,1.05,1.05
0,scenario-03,step-11,warm,spot,0.000,0.0020,0.0720,0.0018,1.05,1.05
0,scenario-03,step-12,warm,spot,0.000,0.0021,0.0729,0.0017,1.05,1.05
0,scenario-03,step-13,warm,spot,0.000,0.0019,0.0749,0.0018,1.05,1.05
0,scenario-03,step-14,warm,spot,0.000,0.0020,0.0710,0.0018,1.05,1.05
0,scenario-03,step-15,warm,spot,0.000,0.0020,0.0723,0.0022,1.05,1.05
0,scenario-03,step-16,warm,spot,0.000,0.0019,0.0724,0.0019,1.05,1.05
0,scenario-03,step-17,warm,spot,0.000,0.0020,0.0734,0.0018,1.05,1.05
0,scenario-03,step-18,warm,spot,0.000,0.0021,0.0729,0.0018,1.05,1.05
0,scenario-03,step-19,warm,spot,0.000,0.0020,0.0740,0.0018,1.05,1.05
0,scenario-03,step-20,warm,spot,0.000,0.0024,0.0768,0.0017,1.05,1.05
0,scenario-03,step-21,warm,spot,0.000,0.0019,0.0709,0.0017,1.05,1.05
0,scenario-03,step-22,warm,spot,0.000,0.0020,0.0711,0.0018,1.05,1.05
0,scenario-03,step-23,warm,spot,0.000,0.0018,0.0725,0.0022,1.05,1.05
0,scenario-03,step-24,warm,spot,0.000,0.0019,0.0741,0.0017,1.05,1.05
0,scenario-03,step-25,warm,spot,0.000,0.0019,0.0736,0.0017,1.05,1.05
0,scenario-03,step-26,warm,spot,0.000,0.0018,0.0753,0.0017,1.05,1.05
0,scenario-03,step-27,warm,spot,0.000,0.0019,0.1203,0.0061,1.05,3.15
0,scenario-03,step-28,warm,spot,0.000,0.0057,0.2342,0.0047,3.15,3.15
