instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,short-720p,generate,cold,ondemand,2.458,0.0000,4.3472,0.0107,0.00,3.07
0,short-720p,cut-a,reuse,ondemand,0.000,0.0198,3.2697,0.0067,3.07,1.37
0,short-720p,cut-b,cold,ondemand,1.621,0.0187,3.1987,0.0063,3.07,1.35
0,short-720p,merge,reuse,ondemand,0.000,0.0108,3.7494,0.0190,2.72,2.38
2,short-720p,generate,cold,ondemand,2.384,0.0000,8.3837,0.0233,0.00,3.07
2,short-720p,cut-a,reuse,ondemand,0.000,0.0169,4.6185,0.0056,3.07,1.37
2,short-720p,cut-b,reuse,ondemand,0.000,0.0159,6.1288,0.0063,3.07,1.35
2,short-720p,merge,reuse,ondemand,0.000,0.0119,3.4938,0.0087,2.72,2.38
3,short-720p,generate,reuse,ondemand,0.000,0.0000,8.6458,0.0220,0.00,3.07
1,long-1080p,generate,reuse,ondemand,0.000,0.0000,35.8767,0.4117,0.00,25.41
4,short-720p,generate,reuse,ondemand,0.000,0.0000,10.8723,0.0216,0.00,3.07
3,short-720p,cut-a,reuse,ondemand,0.000,0.0322,4.6857,0.0105,3.07,1.37
3,short-720p,cut-b,cold,ondemand,3.010,0.0288,9.1869,0.0133,3.07,1.35
4,short-720p,cut-a,warm,ondemand,0.000,0.0272,8.0248,0.0250,3.07,1.37
4,short-720p,cut-b,reuse,ondemand,0.000,0.0262,10.0404,0.0122,3.07,1.35
5,med-720p,generate,cold,ondemand,4.083,0.0000,17.7015,0.0602,0.00,6.16
3,short-720p,merge,reuse,ondemand,0.000,0.0464,10.0740,0.0112,2.72,2.38
4,short-720p,merge,reuse,ondemand,0.000,0.0281,9.9158,0.0129,2.72,2.38
5,med-720p,cut-a,warm,ondemand,0.000,0.0340,9.9848,0.0101,6.16,2.71
5,med-720p,cut-b,reuse,ondemand,0.000,0.0438,10.3373,0.0119,6.16,2.74
1,long-1080p,cut-a,reuse,ondemand,0.000,0.1359,28.4283,0.0532,25.41,10.77
1,long-1080p,cut-b,cold,ondemand,3.034,0.1299,29.5737,0.0359,25.41,10.75
5,med-720p,merge,warm,ondemand,0.000,0.0282,8.2722,0.0161,5.45,4.85
1,long-1080p,merge,warm,ondemand,0.000,0.0835,20.7917,0.0720,21.52,18.58
