instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,short-720p,generate,cold,spot,2.711,0.0000,4.1468,0.0176,0.00,3.07
0,short-720p,cut-a,reuse,spot,0.000,0.0134,2.6900,0.0053,3.07,1.37
0,short-720p,cut-b,cold,spot,1.616,0.0147,2.5976,0.0056,3.07,1.35
0,short-720p,merge,reuse,spot,0.000,0.0125,3.4169,0.0261,2.72,2.38
2,short-720p,generate,cold,ondemand,1.704,0.0000,4.5343,0.0161,0.00,3.07
2,short-720p,cut-a,reuse,ondemand,0.000,0.0153,4.0882,0.0062,3.07,1.37
2,short-720p,cut-b,cold,spot,1.715,0.0169,3.7142,0.0063,3.07,1.35
2,short-720p,merge,reuse,spot,0.000,0.0105,3.9691,0.0122,2.72,2.38
3,short-720p,generate,reuse,ondemand,0.000,0.0000,6.6522,0.0423,0.00,3.07
4,short-720p,generate,reuse,spot,0.000,0.0000,5.8086,0.0124,0.00,3.07
1,long-1080p,generate,cold,ondemand,2.419,0.0000,32.4296,0.1592,0.00,25.41
3,short-720p,cut-a,reuse,ondemand,0.000,0.0193,3.5281,0.0058,3.07,1.37
3,short-720p,cut-b,cold,spot,2.713,0.0348,7.1475,0.0163,3.07,1.35
4,short-720p,cut-a,warm,ondemand,0.000,0.0518,8.0392,0.0138,3.07,1.37
4,short-720p,cut-b,reuse,spot,0.000,0.0442,8.7303,0.0144,3.07,1.35
5,med-720p,generate,cold,spot,2.247,0.0000,16.8384,0.0435,0.00,6.16
3,short-720p,merge,reuse,spot,0.000,0.0208,11.6297,0.0166,2.72,2.38
4,short-720p,merge,reuse,spot,0.000,0.0119,9.8348,0.0107,2.72,2.38
5,med-720p,cut-b,reuse,spot,0.000,0.0412,9.4333,0.0113,6.16,2.74
5,med-720p,cut-a,warm,ondemand,0.000,0.0248,11.1520,0.0343,6.16,2.71
1,long-1080p,cut-a,reuse,ondemand,0.000,0.2318,30.2128,0.0494,25.41,10.77
1,long-1080p,cut-b,cold,ondemand,2.856,0.1996,29.4491,0.0595,25.41,10.75
5,med-720p,merge,reuse,ondemand,0.000,0.0233,8.4619,0.0185,5.45,4.85
1,long-1080p,merge,reuse,ondemand,0.000,0.0985,20.8956,0.0819,21.52,18.58
