instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,short-720p,generate,cold,reserved,2.408,0.0000,4.4250,0.0104,0.00,3.07
0,short-720p,cut-a,reuse,reserved,0.000,0.0139,2.6055,0.0048,3.07,1.37
0,short-720p,cut-b,cold,reserved,1.351,0.0128,2.5900,0.0051,3.07,1.35
0,short-720p,merge,reuse,reserved,0.000,0.0116,3.2799,0.0095,2.72,2.38
2,short-720p,generate,reuse,reserved,0.000,0.0000,5.0309,0.0265,0.00,3.07
2,short-720p,cut-a,reuse,reserved,0.000,0.0268,2.6733,0.0075,3.07,1.37
2,short-720p,cut-b,cold,ondemand,2.782,0.0131,3.5903,0.0056,3.07,1.35
2,short-720p,merge,reuse,reserved,0.000,0.0206,3.6677,0.0100,2.72,2.38
1,long-1080p,generate,reuse,reserved,0.000,0.0000,28.0725,0.1075,0.00,25.41
3,short-720p,generate,reuse,reserved,0.000,0.0000,3.6600,0.0127,0.00,3.07
4,short-720p,generate,reuse,ondemand,0.000,0.0000,5.9744,0.0220,0.00,3.07
3,short-720p,cut-a,reuse,reserved,0.000,0.0395,4.5431,0.0198,3.07,1.37
4,short-720p,cut-a,warm,reserved,0.000,0.0240,5.5035,0.0351,3.07,1.37
3,short-720p,cut-b,cold,ondemand,3.023,0.0442,9.0407,0.0351,3.07,1.35
4,short-720p,cut-b,reuse,ondemand,0.000,0.0355,9.8579,0.0109,3.07,1.35
3,short-720p,merge,reuse,reserved,0.000,0.0676,10.0952,0.0090,2.72,2.38
1,long-1080p,cut-a,reuse,reserved,0.000,0.1087,25.8071,0.0605,25.41,10.77
4,short-720p,merge,reuse,ondemand,0.000,0.0299,9.8454,0.0123,2.72,2.38
5,med-720p,generate,cold,ondemand,2.966,0.0000,19.9162,0.0286,0.00,6.16
1,long-1080p,cut-b,cold,ondemand,1.893,0.2842,29.8342,0.0512,25.41,10.75
5,med-720p,cut-a,warm,reserved,0.000,0.0229,4.9336,0.0124,6.16,2.71
5,med-720p,cut-b,warm,ondemand,0.000,0.0291,5.6250,0.0122,6.16,2.74
5,med-720p,merge,warm,ondemand,0.000,0.0275,7.8229,0.0205,5.45,4.85
1,long-1080p,merge,warm,reserved,0.000,0.1192,18.4829,0.0325,21.52,18.58
