instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,short-720p,generate,cold,spot,1.304,0.0000,1.8544,0.0052,0.00,3.07
0,short-720p,cut-a,reuse,spot,0.000,0.0071,1.5382,0.0034,3.07,1.37
0,short-720p,cut-b,cold,spot,1.055,0.0071,1.2463,0.0027,3.07,1.35
0,short-720p,merge,reuse,spot,0.000,0.0049,1.5423,0.0040,2.72,2.38
2,short-720p,generate,cold,spot,1.315,0.0000,1.9770,0.0053,0.00,3.07
2,short-720p,cut-a,cold,spot,1.307,0.0169,1.6394,0.0036,3.07,1.37
2,short-720p,cut-b,cold,spot,2.117,0.0059,1.6725,0.0037,3.07,1.35
2,short-720p,merge,reuse,spot,0.000,0.0078,2.1762,0.0059,2.72,2.38
1,long-1080p,generate,cold,ondemand,1.305,0.0000,13.4253,0.0407,0.00,25.41
1,long-1080p,cut-a,reuse,spot,0.000,0.0407,10.3005,0.0349,25.41,10.77
1,long-1080p,cut-b,reuse,ondemand,0.000,0.0457,10.5732,0.0215,25.41,10.75
3,short-720p,generate,cold,spot,2.745,0.0000,4.0750,0.0070,0.00,3.07
3,short-720p,cut-a,reuse,spot,0.000,0.0094,3.6619,0.0053,3.07,1.37
4,short-720p,generate,cold,spot,3.442,0.0000,5.1199,0.0262,0.00,3.07
5,med-720p,generate,reuse,spot,0.000,0.0000,9.5839,0.0346,0.00,6.16
4,short-720p,cut-a,warm,spot,0.000,0.0204,4.0608,0.0033,3.07,1.37
4,short-720p,cut-b,reuse,spot,0.000,0.0069,4.4245,0.0039,3.07,1.35
3,short-720p,cut-b,cold,spot,4.868,0.0299,4.5228,0.0044,3.07,1.35
5,med-720p,cut-a,reuse,spot,0.000,0.0228,4.7614,0.0110,6.16,2.71
4,short-720p,merge,reuse,spot,0.000,0.0082,5.0157,0.0070,2.72,2.38
3,short-720p,merge,reuse,spot,0.000,0.0059,5.6129,0.0065,2.72,2.38
5,med-720p,cut-b,cold,spot,2.144,0.0125,5.6387,0.0068,6.16,2.74
1,long-1080p,merge,reuse,ondemand,0.000,0.0537,19.2847,0.0388,21.52,18.58
5,med-720p,merge,warm,spot,0.000,0.0117,3.4227,0.0100,5.45,4.85
